Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
12/09/2001,Ginger(Green),103,Chandigarh,FAQ,Chandigarh (F&V),1200,800,1000,Chandigarh,Other
14/09/2001,Ginger(Green),103,Chandigarh,FAQ,Chandigarh (F&V),1300,800,1050,Chandigarh,Other
18/10/2001,Ginger(Green),103,Chandigarh,FAQ,Chandigarh (F&V),1200,800,1000,Chandigarh,Other
18/11/2001,Ginger(Green),103,Chandigarh,FAQ,Chandigarh (F&V),1200,800,1000,Chandigarh,Other
12/04/2001,Wheat,1,Chandigarh,FAQ,Chandigarh (F&V),660,500,605,Chandigarh,Other
19/09/2001,Wheat,1,Chandigarh,FAQ,Chandigarh (F&V),610,600,605,Chandigarh,Other
30/03/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),500,300,400,Chandigarh,Other
05/04/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),500,300,400,Chandigarh,Other
14/04/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),480,300,390,Chandigarh,Other
19/04/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),450,165,307,Chandigarh,Other
24/04/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),450,155,302,Chandigarh,Other
27/04/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),450,235,342,Chandigarh,Other
08/05/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),315,140,227,Chandigarh,Other
12/05/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),310,160,235,Chandigarh,Other
12/06/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),370,155,262,Chandigarh,Other
19/06/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),457,150,303,Chandigarh,Other
24/06/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),400,120,260,Chandigarh,Other
27/06/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),450,150,300,Chandigarh,Other
12/07/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),450,180,315,Chandigarh,Other
22/07/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),480,200,340,Chandigarh,Other
23/08/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),625,300,465,Chandigarh,Other
29/08/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,500,600,Chandigarh,Other
08/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),600,400,500,Chandigarh,Other
18/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
19/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
20/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),680,400,540,Chandigarh,Other
22/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
23/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
27/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,350,525,Chandigarh,Other
29/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,350,525,Chandigarh,Other
30/09/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),650,350,500,Chandigarh,Other
02/10/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
06/10/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
11/10/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
16/10/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
21/10/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
24/10/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
30/10/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
01/11/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),700,400,550,Chandigarh,Other
07/11/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),450,200,325,Chandigarh,Other
21/11/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),1000,700,850,Chandigarh,Other
29/11/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),600,500,550,Chandigarh,Other
02/12/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),650,500,575,Chandigarh,Other
11/12/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),500,400,450,Chandigarh,Other
13/12/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),500,400,450,Chandigarh,Other
14/12/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),500,400,450,Chandigarh,Other
27/12/2001,Onion,23,Chandigarh,FAQ,Chandigarh (F&V),600,400,500,Chandigarh,Other
